Jacobaea cannabifolia
Alexandrium minutum
Coscinodiscus wailesii
Melanothamnus harveyi
Novafabricia infratorquata
Claviceps purpurea
Caprella scaura
Cephalopholis nigri
Platyscelus armatus
Polititapes aureus
Aplus assimilis
Crisularia plumosa
Saccharina japonica
Crassostrea virginica
Aplidium antillense
Aix sponsa
Caprella mutica
Clavelina oblonga
Proasellus coxalis coxalis
Boccardia semibranchiata
Alopochen aegyptiaca
Parasmittina alba
Necora puber
Chrysemys picta
Eupyxidicula turris
Microcosmus savignyi
Didemnum candidum
Chaetodon hoefleri
Epinephelus adscensionis
Anser rossii
Echinogammarus warpachowskyi
Chaetoceros peruvianus
Proterorhinus marmoratus
Chelidonichthys lucerna
Balanus trigonus
Phallusia nigra
Pseudopolydora paucibranchiata
Cirrhitus atlanticus
Anadara inaequivalvis
Thalassarche chrysostoma
Rugulopteryx okamurae
Ameira divagans divagans
Polycera hedgpethi
Lyrodus pedicellatus
Genyatremus cavifrons
Neoizziella divaricata
Ostrea chilensis
Laurencia brongniartii
Heleobia charruana
Distaplia magnilarva
Piscicola pojmanskae
Pinus mugo
Hymeniacidon gracilis
Crassula helmsii
Biddulphia rhombus
Ascidiella aspersa
Ponticola kessleri
Antithamnion nipponicum
Huso huso
Oithona davisae
Bugulina simplex
Amphibalanus improvisus
Aetea longicollis
Chalinula loosanoffi
Elachista flaccida
Herposiphonia parca
Pacifastacus leniusculus
Aplidium glabrum
Polysiphonia morrowii
Alexandrium ostenfeldii
Exaiptasia diaphana
Lithobates catesbeianus
Potamothrix heuscheri
Xiphosiphonia pinnulata
Dasya sessilis
